position,inclusion_freq,expected_p
534,0.0509,0.05
535,0.0513,0.05
536,0.04735,0.05
537,0.0501,0.05
538,0.05125,0.05
539,0.04975,0.05
540,0.05015,0.05
541,0.05025,0.05
542,0.0507,0.05
543,0.045,0.05
544,0.049,0.05
545,0.0518,0.05
546,0.0513,0.05
547,0.0509,0.05
548,0.0474,0.05
549,0.04985,0.05
550,0.0496,0.05
551,0.0496,0.05
552,0.04945,0.05
553,0.04915,0.05
554,0.0502,0.05
555,0.0501,0.05
556,0.0503,0.05
557,0.051,0.05
558,0.05125,0.05
559,0.04925,0.05
560,0.04875,0.05
561,0.04795,0.05
562,0.04895,0.05
563,0.04985,0.05
564,0.05245,0.05
565,0.0493,0.05
566,0.0496,0.05
567,0.05205,0.05
568,0.0507,0.05
569,0.05375,0.05
570,0.04965,0.05
571,0.05015,0.05
572,0.04855,0.05
573,0.0522,0.05
574,0.05095,0.05
575,0.04965,0.05
576,0.0468,0.05
577,0.04975,0.05
578,0.0513,0.05
579,0.05135,0.05
580,0.05115,0.05
581,0.05185,0.05
582,0.0504,0.05
583,0.0493,0.05
584,0.04875,0.05
585,0.0497,0.05
586,0.05045,0.05
587,0.05045,0.05
588,0.0518,0.05
589,0.0488,0.05
590,0.05285,0.05
591,0.0479,0.05
592,0.05045,0.05
593,0.0508,0.05
594,0.04885,0.05
595,0.04795,0.05
596,0.0473,0.05
597,0.05205,0.05
598,0.0495,0.05
599,0.052,0.05
600,0.0498,0.05
601,0.05145,0.05
602,0.04805,0.05
603,0.04665,0.05
604,0.0492,0.05
605,0.04885,0.05
606,0.0488,0.05
607,0.0493,0.05
608,0.04965,0.05
609,0.04835,0.05
610,0.05145,0.05
611,0.0508,0.05
612,0.0519,0.05
613,0.0484,0.05
614,0.04965,0.05
615,0.051,0.05
616,0.04885,0.05
617,0.049,0.05
618,0.0513,0.05
619,0.0524,0.05
620,0.0495,0.05
621,0.0489,0.05
622,0.0524,0.05
623,0.04815,0.05
624,0.0487,0.05
625,0.04965,0.05
626,0.0503,0.05
627,0.05205,0.05
628,0.04985,0.05
629,0.04925,0.05
630,0.0478,0.05
631,0.0498,0.05
632,0.04795,0.05
633,0.05065,0.05
634,0.05015,0.05
635,0.0517,0.05
636,0.0485,0.05
637,0.05,0.05
638,0.04895,0.05
639,0.052,0.05
640,0.04975,0.05
641,0.04895,0.05
642,0.0527,0.05
643,0.0515,0.05
644,0.05225,0.05
645,0.0497,0.05
646,0.04685,0.05
647,0.04785,0.05
648,0.05005,0.05
649,0.04855,0.05
650,0.0488,0.05
651,0.0462,0.05
652,0.05125,0.05
653,0.04835,0.05
654,0.04995,0.05
655,0.05015,0.05
656,0.04795,0.05
657,0.0493,0.05
658,0.0529,0.05
659,0.0487,0.05
660,0.04735,0.05
661,0.05275,0.05
662,0.04825,0.05
663,0.0518,0.05
664,0.05015,0.05
665,0.0504,0.05
666,0.0499,0.05
667,0.04935,0.05
668,0.0497,0.05
669,0.0518,0.05
670,0.0479,0.05
671,0.05085,0.05
672,0.0522,0.05
673,0.0501,0.05
674,0.04815,0.05
675,0.0493,0.05
676,0.05045,0.05
677,0.0515,0.05
678,0.04955,0.05
679,0.05075,0.05
680,0.05085,0.05
681,0.05175,0.05
682,0.04945,0.05
683,0.0489,0.05
684,0.04915,0.05
685,0.04905,0.05
686,0.0493,0.05
687,0.05015,0.05
688,0.05035,0.05
689,0.05105,0.05
690,0.05175,0.05
691,0.05105,0.05
692,0.0484,0.05
693,0.0494,0.05
694,0.0498,0.05
695,0.051,0.05
696,0.04885,0.05
697,0.0504,0.05
698,0.0499,0.05
699,0.04925,0.05
700,0.04605,0.05
701,0.05465,0.05
702,0.0488,0.05
703,0.05025,0.05
704,0.04985,0.05
705,0.0497,0.05
706,0.04995,0.05
707,0.0511,0.05
708,0.0512,0.05
709,0.0497,0.05
710,0.0508,0.05
711,0.0489,0.05
712,0.0501,0.05
713,0.0527,0.05
714,0.0497,0.05
715,0.04995,0.05
716,0.05005,0.05
717,0.0509,0.05
718,0.04985,0.05
719,0.0502,0.05
720,0.0501,0.05
721,0.04825,0.05
722,0.0521,0.05
723,0.0494,0.05
724,0.04935,0.05
725,0.04785,0.05
726,0.05105,0.05
727,0.05255,0.05
728,0.0502,0.05
729,0.0498,0.05
730,0.0496,0.05
731,0.05045,0.05
732,0.0489,0.05
733,0.0497,0.05
734,0.0476,0.05
735,0.04865,0.05
736,0.04785,0.05
737,0.04975,0.05
738,0.0511,0.05
739,0.05245,0.05
740,0.0512,0.05
741,0.05125,0.05
742,0.0523,0.05
743,0.05015,0.05
744,0.0497,0.05
745,0.0515,0.05
746,0.04795,0.05
747,0.04805,0.05
748,0.0492,0.05
749,0.04955,0.05
750,0.0519,0.05
751,0.04675,0.05
752,0.04915,0.05
753,0.0523,0.05
754,0.05045,0.05
755,0.05025,0.05
756,0.05195,0.05
757,0.052,0.05
758,0.04745,0.05
759,0.0532,0.05
760,0.0513,0.05
761,0.05,0.05
762,0.04895,0.05
763,0.05405,0.05
764,0.05165,0.05
765,0.0516,0.05
766,0.04945,0.05
767,0.05165,0.05
768,0.0513,0.05
769,0.0488,0.05
770,0.0501,0.05
771,0.049,0.05
772,0.0508,0.05
773,0.05035,0.05
774,0.0515,0.05
775,0.0485,0.05
776,0.04835,0.05
777,0.05005,0.05
778,0.05015,0.05
779,0.05155,0.05
780,0.0479,0.05
781,0.0501,0.05
782,0.0516,0.05
783,0.0483,0.05
784,0.0484,0.05
785,0.052,0.05
786,0.0481,0.05
787,0.05095,0.05
788,0.05155,0.05
789,0.0533,0.05
790,0.04865,0.05
791,0.0488,0.05
792,0.0481,0.05
793,0.04985,0.05
794,0.0517,0.05
795,0.04925,0.05
796,0.04885,0.05
797,0.0503,0.05
798,0.05275,0.05
799,0.0515,0.05
800,0.0509,0.05
801,0.04975,0.05
802,0.0481,0.05
803,0.05095,0.05
804,0.04755,0.05
805,0.05,0.05
806,0.0526,0.05
807,0.04995,0.05
808,0.0512,0.05
809,0.04775,0.05
810,0.05025,0.05
811,0.05285,0.05
812,0.0486,0.05
813,0.05025,0.05
814,0.04945,0.05
815,0.0467,0.05
816,0.0483,0.05
817,0.04925,0.05
818,0.05095,0.05
819,0.0502,0.05
820,0.05155,0.05
821,0.04895,0.05
822,0.0509,0.05
823,0.0519,0.05
824,0.0502,0.05
825,0.0494,0.05
826,0.05005,0.05
827,0.04765,0.05
828,0.04945,0.05
829,0.0489,0.05
830,0.0488,0.05
831,0.04765,0.05
832,0.0525,0.05
833,0.0522,0.05
834,0.0505,0.05
835,0.05245,0.05
836,0.0508,0.05
837,0.05095,0.05
838,0.0516,0.05
839,0.0492,0.05
840,0.0512,0.05
841,0.05065,0.05
842,0.04915,0.05
843,0.05175,0.05
844,0.0485,0.05
845,0.05015,0.05
846,0.0502,0.05
847,0.04905,0.05
848,0.04815,0.05
849,0.05265,0.05
850,0.049,0.05
851,0.04965,0.05
852,0.05295,0.05
853,0.04915,0.05
854,0.05215,0.05
855,0.0486,0.05
856,0.04865,0.05
857,0.0506,0.05
858,0.04795,0.05
859,0.0489,0.05
860,0.0474,0.05
861,0.0515,0.05
862,0.05,0.05
863,0.04975,0.05
864,0.0525,0.05
865,0.05105,0.05
866,0.04885,0.05
867,0.0477,0.05
868,0.04905,0.05
869,0.0504,0.05
870,0.05165,0.05
871,0.0513,0.05
872,0.04835,0.05
873,0.0475,0.05
874,0.05115,0.05
875,0.04915,0.05
876,0.04915,0.05
877,0.04845,0.05
878,0.0514,0.05
879,0.05295,0.05
880,0.0504,0.05
881,0.0494,0.05
882,0.0509,0.05
883,0.0473,0.05
884,0.0493,0.05
885,0.04825,0.05
886,0.0505,0.05
887,0.0491,0.05
888,0.04925,0.05
889,0.0455,0.05
890,0.05125,0.05
891,0.04915,0.05
892,0.05055,0.05
893,0.05065,0.05
894,0.04925,0.05
895,0.05225,0.05
896,0.04865,0.05
897,0.0498,0.05
898,0.04845,0.05
899,0.05025,0.05
900,0.04925,0.05
901,0.05125,0.05
902,0.04905,0.05
903,0.04985,0.05
904,0.0498,0.05
905,0.05105,0.05
906,0.0503,0.05
907,0.05015,0.05
908,0.04885,0.05
909,0.0482,0.05
910,0.048,0.05
911,0.05025,0.05
912,0.0498,0.05
913,0.04575,0.05
914,0.05035,0.05
915,0.05145,0.05
916,0.0522,0.05
917,0.04955,0.05
918,0.05165,0.05
919,0.04955,0.05
920,0.04975,0.05
921,0.04615,0.05
922,0.04975,0.05
923,0.05085,0.05
924,0.0495,0.05
925,0.0483,0.05
926,0.04585,0.05
927,0.0495,0.05
928,0.0486,0.05
929,0.05085,0.05
930,0.0496,0.05
931,0.0515,0.05
932,0.04995,0.05
933,0.05155,0.05
934,0.04985,0.05
935,0.0497,0.05
936,0.05265,0.05
937,0.0505,0.05
938,0.05145,0.05
939,0.0483,0.05
940,0.0478,0.05
941,0.05,0.05
942,0.05045,0.05
943,0.04895,0.05
944,0.04875,0.05
945,0.04895,0.05
946,0.0502,0.05
947,0.0496,0.05
948,0.04805,0.05
949,0.04895,0.05
950,0.04995,0.05
951,0.04895,0.05
952,0.05045,0.05
953,0.051,0.05
954,0.0489,0.05
955,0.05155,0.05
956,0.05235,0.05
957,0.05065,0.05
958,0.04895,0.05
959,0.05135,0.05
960,0.0488,0.05
961,0.0476,0.05
962,0.05025,0.05
963,0.0523,0.05
964,0.04795,0.05
965,0.05215,0.05
966,0.05325,0.05
967,0.0493,0.05
968,0.0478,0.05
969,0.05125,0.05
970,0.04985,0.05
971,0.0508,0.05
972,0.04945,0.05
973,0.0498,0.05
974,0.04945,0.05
975,0.04825,0.05
976,0.0479,0.05
977,0.05035,0.05
978,0.05035,0.05
979,0.05065,0.05
980,0.0526,0.05
981,0.04845,0.05
982,0.04995,0.05
983,0.04855,0.05
984,0.0503,0.05
985,0.05,0.05
986,0.04955,0.05
987,0.0493,0.05
988,0.0483,0.05
989,0.04785,0.05
990,0.04885,0.05
991,0.0514,0.05
992,0.05015,0.05
993,0.0494,0.05
994,0.05185,0.05
995,0.0518,0.05
996,0.0477,0.05
997,0.0473,0.05
998,0.0518,0.05
999,0.0502,0.05
